symbol,arm,long_thr,exit_thr,n_trades,total_return,sharpe,max_dd,pct_time_in_market
UK100,risk_long_inv,-55.0,-65.0,1,-0.0027788313119626595,-0.16876409263447037,-0.00592578584601311,0.005940594059405941
UK100,vol_long_dir,65.0,55.0,65,-0.19991802467646014,-0.7363607232266649,-0.22688515591327518,0.18495049504950495
UK100,risk_long_inv,-35.0,-65.0,3,0.014932806300558266,0.3106339114610121,-0.016057835964697675,0.017425742574257427
DAX40,trend_long,45.0,35.0,24,0.1350829384593053,0.7432922585672675,-0.039174543659730277,0.12652739456050452
DAX40,trend_long,55.0,45.0,30,0.11801538111024201,0.6161770023120762,-0.04082493799114584,0.14229404808829327
DAX40,trend_long,55.0,35.0,28,0.10930546840781097,0.5555853001176125,-0.048120235240090015,0.14465904611746158
DAX40,trend_long,65.0,35.0,33,0.07999819401176533,0.38358911229546105,-0.0347747560641406,0.15451320457232953
DAX40,trend_long,65.0,45.0,34,0.07189508448709137,0.35104340748202817,-0.041891922223405875,0.15293653921955064
DAX40,trend_long,65.0,55.0,36,0.07813433010717219,0.39154821076296875,-0.040050005581471426,0.14860070949940876
DAX40,structure_long,65.0,35.0,0,0.0,0.0,0.0,0.0
DAX40,structure_long,65.0,45.0,0,0.0,0.0,0.0,0.0
DAX40,structure_long,65.0,55.0,0,0.0,0.0,0.0,0.0
DAX40,structure_long,55.0,35.0,107,-0.141512002125327,-0.3604462449577619,-0.16832582236260174,0.37839968466692947
DAX40,structure_long,45.0,35.0,98,-0.1156048586183166,-0.3281861733634855,-0.23372131342625968,0.40756799369333857
DAX40,structure_long,55.0,45.0,111,-0.15349813284919833,-0.4283848633775992,-0.17112559110765424,0.31336223886480097
DAX40,momentum_long,45.0,35.0,150,-0.07971668574521407,-0.18458162401189207,-0.138098356894641,0.5108395743003548
DAX40,momentum_long,65.0,35.0,133,-0.19407331430989339,-0.5308367985894153,-0.2283354481031562,0.4789121009065826
DAX40,momentum_long,55.0,45.0,169,-0.10247750703712755,-0.2702812495508681,-0.15614502037310463,0.4659046117461569
DAX40,momentum_long,55.0,35.0,142,-0.1106130785915731,-0.27684675836908407,-0.1840802705173653,0.5116279069767442
DAX40,momentum_long,65.0,45.0,146,-0.17826857099758386,-0.5060110920186843,-0.2019730249044016,0.448955459203784
DAX40,confidence_long,45.0,35.0,47,0.1467658429112737,0.5793104433862458,-0.052870995948876565,0.232163973196689
DAX40,confidence_long,55.0,35.0,69,0.05440412067662792,0.18890814039897036,-0.06391310762006408,0.30981474182104846
DAX40,momentum_long,65.0,55.0,155,-0.13625570433354006,-0.3877663177353563,-0.17397110308059993,0.43042964130863226
DAX40,confidence_long,55.0,45.0,72,0.07789442109466083,0.26557312493080787,-0.06275110402393103,0.3054789121009066
DAX40,confidence_long,65.0,35.0,102,-0.24175931014803176,-0.7702794229706953,-0.26092773631853694,0.3701221915648404
DAX40,vol_long_dir,45.0,35.0,38,-0.029351547410811918,-0.11589830776574514,-0.07018080719514752,0.1411115490737091
DAX40,confidence_long,65.0,45.0,102,-0.23587228426313,-0.750206110667498,-0.2551895352362986,0.3685455262120615
DAX40,confidence_long,65.0,55.0,107,-0.20114701946910574,-0.6511174710204582,-0.2182080206019561,0.3598738667717777
DAX40,vol_long_dir,55.0,35.0,60,-0.06332575318797518,-0.21389834004261057,-0.12692225093937504,0.22073314938904218
DAX40,vol_long_dir,55.0,45.0,60,-0.06332575318797518,-0.21389834004261057,-0.12692225093937504,0.22073314938904218
DAX40,vol_long_dir,65.0,35.0,60,-0.06332575318797518,-0.21389834004261057,-0.12692225093937504,0.22073314938904218
DAX40,vol_long_inv,-35.0,-45.0,35,0.024868788489000426,0.19856784510542086,-0.04075101878488874,0.016554986204178165
DAX40,vol_long_inv,-35.0,-55.0,35,0.0398870464412433,0.28063867217086824,-0.04442630758958899,0.028774142688214426
DAX40,vol_long_inv,-45.0,-55.0,35,0.0398870464412433,0.28063867217086824,-0.04442630758958899,0.028774142688214426
DAX40,vol_long_inv,-35.0,-65.0,35,0.0398870464412433,0.28063867217086824,-0.04442630758958899,0.028774142688214426
DAX40,vol_long_inv,-45.0,-65.0,35,0.0398870464412433,0.28063867217086824,-0.04442630758958899,0.028774142688214426
DAX40,risk_long_dir,45.0,35.0,0,0.0,0.0,0.0,0.0
DAX40,vol_long_inv,-55.0,-65.0,39,-0.0004247722131638376,0.003979948824848478,-0.03513081316304689,0.027591643673630272
DAX40,risk_long_dir,55.0,35.0,0,0.0,0.0,0.0,0.0
DAX40,risk_long_dir,55.0,45.0,0,0.0,0.0,0.0,0.0
DAX40,risk_long_dir,65.0,35.0,0,0.0,0.0,0.0,0.0
DAX40,vol_long_dir,65.0,45.0,60,-0.06332575318797518,-0.21389834004261057,-0.12692225093937504,0.22073314938904218
DAX40,risk_long_dir,65.0,55.0,0,0.0,0.0,0.0,0.0
DAX40,risk_long_dir,65.0,45.0,0,0.0,0.0,0.0,0.0
DAX40,vol_long_dir,65.0,55.0,61,-0.04679185478749892,-0.15434146548500183,-0.11176206558806967,0.2187623176980686
DAX40,risk_long_inv,-35.0,-55.0,1,0.008884478660567297,0.24311369150809367,-0.006995456652263532,0.005912495072920773
DAX40,risk_long_inv,-45.0,-55.0,1,0.008884478660567297,0.24311369150809367,-0.006995456652263532,0.005912495072920773
DAX40,risk_long_inv,-35.0,-45.0,1,0.008884478660567297,0.24311369150809367,-0.006995456652263532,0.005912495072920773
DAX40,risk_long_inv,-35.0,-65.0,1,0.008884478660567297,0.24311369150809367,-0.006995456652263532,0.005912495072920773
DAX40,risk_long_inv,-45.0,-65.0,1,0.008884478660567297,0.24311369150809367,-0.006995456652263532,0.005912495072920773
DAX40,risk_long_inv,-55.0,-65.0,1,0.008884478660567297,0.24311369150809367,-0.006995456652263532,0.005912495072920773
CAC40,trend_long,45.0,35.0,37,0.01302347547532623,0.07717341080245525,-0.04691341426470663,0.1520125048847206
CAC40,trend_long,55.0,45.0,43,-0.05187704126671766,-0.25740607776485563,-0.08469835169151341,0.17506838608831574
CAC40,trend_long,55.0,35.0,40,-0.04810879017642278,-0.234606215054323,-0.08128430913173834,0.18014849550605705
CAC40,trend_long,65.0,35.0,45,-0.11684321402795939,-0.5352006733277174,-0.13142679143878877,0.1848378272762798
CAC40,trend_long,65.0,45.0,45,-0.10532572207026658,-0.48537485461475804,-0.12434018751013143,0.18405627198124266
CAC40,trend_long,65.0,55.0,46,-0.09103832242899879,-0.416145503656676,-0.10925322977237606,0.18132082844861275
CAC40,structure_long,65.0,35.0,0,0.0,0.0,0.0,0.0
CAC40,structure_long,65.0,45.0,0,0.0,0.0,0.0,0.0
CAC40,structure_long,65.0,55.0,0,0.0,0.0,0.0,0.0
CAC40,structure_long,55.0,35.0,102,-0.29123888711278667,-0.8978487235168471,-0.32041866703931443,0.3767096522078937
CAC40,structure_long,45.0,35.0,103,-0.09104499208830408,-0.24379749820954874,-0.16303458160428463,0.4177413051973427
CAC40,structure_long,55.0,45.0,104,-0.28868935393910033,-0.9207922788903181,-0.30312245176523334,0.33411488862837047
CAC40,momentum_long,45.0,35.0,140,-0.05035826203081728,-0.10791887572954885,-0.10717305178234371,0.5029308323563892
CAC40,momentum_long,55.0,35.0,132,-0.14104636474431043,-0.3757629547132474,-0.15626844715547972,0.49863227823368506
CAC40,momentum_long,55.0,45.0,147,-0.0485081645908817,-0.11653856561115673,-0.0970727703883485,0.46776084407971863
CAC40,momentum_long,65.0,35.0,130,-0.20670143559973475,-0.5658704275277551,-0.22847649475818377,0.5068386088315748
CAC40,confidence_long,45.0,35.0,54,-0.004334020154729612,-0.004728862487755329,-0.062486902727908133,0.2372020320437671
