arm,long_thr,exit_thr,symbol,window,n_trades,total_return,sharpe,max_dd
trend_long,60.0,50.0,DAX40,2,6,0.00710762238891971,0.2342401593920568,-0.01623313616159805
trend_long,60.0,50.0,DAX40,1,10,0.012186899227153214,0.23860962784709805,-0.04254513953413319
trend_long,60.0,50.0,UK100,3,17,-0.01146108209867902,-0.12753161298667384,-0.04843521797703032
trend_long,60.0,50.0,CAC40,0,7,0.02275381291318679,0.6463889273718526,-0.02093617570740125
trend_long,60.0,50.0,CAC40,1,7,-0.004998004274125889,-0.11547417447105483,-0.021861075007161612
trend_long,60.0,50.0,DAX40,3,13,0.04432180294960997,0.6298848870382293,-0.027993858539709704
trend_long,60.0,50.0,CAC40,2,7,-0.01358317322216096,-0.46549811448184275,-0.03332407461219422
trend_long,60.0,50.0,IBEX35,0,10,-0.015975297133102195,-0.4004476777317285,-0.028417958610387206
trend_long,60.0,50.0,IBEX35,1,10,-0.03292447269058141,-0.7175526520739451,-0.05271918179417223
trend_long,60.0,50.0,IBEX35,2,9,-0.01802354228903058,-0.4180345621069636,-0.03480627010530768
trend_long,60.0,50.0,CAC40,3,20,-0.05353936920851288,-0.6226503655472887,-0.07205743441817125
trend_long,60.0,50.0,FTSE250,0,9,0.06496626794372773,1.4373532064013155,-0.016762290828946758
trend_long,60.0,50.0,FTSE250,1,12,-0.02898797266616371,-0.5678707744685891,-0.03538317119139722
trend_long,60.0,50.0,IBEX35,3,12,0.11944599200899031,1.2796698038056216,-0.016254569201043845
trend_long,60.0,50.0,FTSE250,2,7,-0.021756458343233365,-0.40061797764092355,-0.04035802277734579
trend_long,60.0,50.0,FTSE250,3,11,-0.02040123968596086,-0.32770082129726263,-0.03599046630878788
trend_long,60.0,50.0,UK100_ETF,1,16,-0.09595561238064276,-1.5317893767131323,-0.09984126110283276
trend_long,60.0,50.0,UK100_ETF,2,6,-0.004162132195414281,-0.09889826575632113,-0.02454706680851859
trend_long,60.0,50.0,UK100_ETF,0,12,0.018242558440374257,0.3604945681212863,-0.030057363140850724
trend_long,70.0,30.0,UK100,1,11,-0.06908945758108642,-1.3484154094819292,-0.06908945758108642
trend_long,70.0,30.0,UK100,0,15,-0.031681975753741765,-0.5661304346206387,-0.07036072793451975
trend_long,70.0,30.0,UK100,2,11,-0.05349813752950139,-1.1193082603388949,-0.056561468570849316
trend_long,60.0,50.0,UK100_ETF,3,18,-0.009660776944662941,-0.11442368382895984,-0.04755897618008942
trend_long,70.0,30.0,DAX40,0,8,0.0022959782251408267,0.06946573955645527,-0.022280953562406114
trend_long,70.0,30.0,DAX40,1,7,0.016733384436495635,0.36973346533113743,-0.026085677097141158
trend_long,70.0,30.0,UK100,3,19,-0.03902325008670082,-0.43152667681410817,-0.06423532126402154
trend_long,70.0,30.0,DAX40,2,7,-0.00921120668684583,-0.229857838260592,-0.02971242107060512
trend_long,70.0,30.0,CAC40,0,9,-0.013224035069226536,-0.2648190398478586,-0.04362365880292607
trend_long,70.0,30.0,CAC40,2,6,-0.010807084080363571,-0.25492204999220563,-0.02958711229004496
trend_long,70.0,30.0,CAC40,1,10,-0.008073892943860073,-0.12276863246791582,-0.03954618857868819
trend_long,70.0,30.0,DAX40,3,17,0.004060935429886836,0.057769313761683934,-0.04327157868713083
trend_long,70.0,30.0,IBEX35,0,9,-0.0311372999838071,-0.8137380148952655,-0.04162678086199367
trend_long,70.0,30.0,IBEX35,1,10,-0.02243050943060365,-0.48734239121515854,-0.05228768537173978
trend_long,70.0,30.0,IBEX35,2,9,-0.03258980643647047,-0.6509302242167592,-0.04484912086474968
trend_long,70.0,30.0,CAC40,3,23,-0.10682587884725203,-1.1067810663651798,-0.11715004179507138
trend_long,70.0,30.0,FTSE250,1,9,-0.04279670086078258,-0.9322520221323214,-0.05130767857457341
trend_long,70.0,30.0,FTSE250,0,8,0.06392297262795155,1.3243933536218115,-0.014290959896751665
trend_long,70.0,30.0,FTSE250,2,6,0.03782569762802157,0.7086850452964502,-0.023238132468036743
