name,require_risk_filter,T_enter,C_enter,R_max,symbol,window,n_trades,total_return,sharpe,max_dd
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,DAX40,0,39,-0.048143325041913654,-0.45345323718982833,-0.09917569934485027
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,DAX40,2,34,-0.13955123183566354,-1.4033068219587563,-0.1532208265045646
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,UK100,3,72,-0.1413168362012004,-0.7595669477756997,-0.18074812155073805
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,CAC40,1,30,-0.11680091266378145,-1.2415550853885144,-0.1240146809158379
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,CAC40,0,38,-0.08891863817245271,-0.9991392758530068,-0.12316788137280299
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,CAC40,2,36,-0.15011151882813634,-1.5358133425931595,-0.15011151882813634
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,IBEX35,0,35,-0.07222057590904463,-0.8312786324461555,-0.10769766506095091
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,DAX40,3,72,-0.03097224018786815,-0.13087547762443338,-0.0952242152137831
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,IBEX35,1,21,-0.11267537793259075,-1.8464018960311586,-0.11538750113495255
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,CAC40,3,62,-0.17898066399957968,-1.0829975573724984,-0.20651147902785028
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,IBEX35,2,27,-0.10688108634764193,-1.3779557013883683,-0.12208046527053984
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,FTSE250,0,37,-0.015477172234350856,-0.12630445428125198,-0.0686142775432248
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,FTSE250,1,29,-0.11174336091443349,-1.2738896673496045,-0.11174336091443349
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,FTSE250,2,31,-0.06758516990379215,-0.6926997685487851,-0.07967371391464906
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,UK100_ETF,1,29,-0.14254542301068374,-1.8288404687359672,-0.14780836978041634
composite_T50_C60_Rmax15,True,50.0,60.0,15.0,UK100_ETF,0,41,-0.15775114536152834,-1.6889679991049849,-0.1677887804577004
